  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727976 24217 201701010051 140  21  26  16 OVC * * *  4.0 ** ** ** ** 71 10 ** ** *   36   32 ****** 29.78 1003.0 *** *** ***** ***** ***** ***** **
727976 24217 201701010053 140  21  26  16 OVC * * *  4.0 ** ** ** ** 71 10 ** ** *   35   32 1009.2 29.78 1003.0 *** ***  0.01 ***** ***** ***** **
727976 24217 201701010151 150  13  21  13 OVC * * * 10.0 ** ** ** ** 71 ** ** ** *   36   34 ****** 29.74 1001.6 *** *** ***** ***** ***** ***** **
727976 24217 201701010153 150  11 ***  13 OVC * * * 10.0 ** ** ** ** 71 ** ** ** *   36   33 1007.9 29.74 1001.6 *** ***  0.00T***** ***** ***** **
727976 24217 201701010251 140  14  22  16 OVC * * *  9.1 ** ** ** ** ** ** ** ** *   37   34 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010253 140  14  22  16 OVC * * *  9.1 ** ** ** ** ** ** ** ** *   37   34 1006.6 29.70 1000.3 *** ***  0.00T***** *****  0.01 **
727976 24217 201701010323 990   8  17  13 OVC * * *  8.0 ** ** ** ** 61 ** ** ** *   37   35 ****** 29.69  999.9 *** *** ***** ***** ***** ***** **
727976 24217 201701010353 180  11  22  11 OVC * * *  8.0 ** ** ** ** 61 ** ** ** *   37   35 1006.1 29.68  999.6 *** ***  0.07 ***** ***** ***** **
727976 24217 201701010421 990   5 ***   8 OVC * * * 10.0 ** ** ** ** 61 ** ** ** *   37   36 ****** 29.67  999.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010451 290  11 ***   4 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   36   34 ****** 29.67  999.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010453 290  11 ***   4 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   35   34 1005.7 29.67  999.3 *** ***  0.01 ***** ***** ***** **
727976 24217 201701010544 290   7 ***   5 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   34   33 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010553 300   7 ***   6 OVC * * *  7.0 ** ** ** ** 71 ** ** ** *   34   34 1006.7 29.70 1000.3 *** ***  0.00T 0.09 ***** ***** **
727976 24217 201701010640 020   3 ***   5 OVC * * *  1.8 ** ** ** ** 71 10 ** ** *   34   33 ****** 29.71 1000.6 *** *** ***** ***** ***** ***** **
727976 24217 201701010651 ***   0 ***   5 OVC * * *  3.0 ** ** ** ** 71 10 ** ** *   34   34 ****** 29.71 1000.6 *** *** ***** ***** ***** ***** **
727976 24217 201701010653 080   3 ***  26 OVC * * *  6.0 ** ** ** ** 71 10 ** ** *   33   33 1006.9 29.71 1000.6 *** ***  0.00T***** ***** ***** **
727976 24217 201701010707 080   3 ***  46 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   33   33 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010726 ***   0 ***  18 OVC * * *  2.5 ** ** ** ** 71 10 ** ** *   33   33 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010735 160   3 ***  16 OVC * * *  1.5 ** ** ** ** 71 10 ** ** *   33   33 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010742 ***   0 ***  16 OVC * * *  1.8 ** ** ** ** 71 10 ** ** *   33   33 ****** 29.71 1000.6 *** *** ***** ***** ***** ***** **
727976 24217 201701010751 ***   0 ***   6 OVC * * *  1.5 ** ** ** ** 71 10 ** ** *   34   34 ****** 29.71 1000.6 *** *** ***** ***** ***** ***** **
727976 24217 201701010753 ***   0 ***   6 OVC * * *  1.8 ** ** ** ** 71 10 ** ** *   33   33 1006.8 29.71 1000.6 *** ***  0.02 ***** ***** ***** **
727976 24217 201701010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  38  33 ***** *****  0.14 ***** **
727976 24217 201701010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727976 24217 201701010807 120   5 ***   5 OVC * * *  3.0 ** ** ** ** 71 10 ** ** *   33   32 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701010844 ***   0 ***  60 OVC * * *  6.0 ** ** ** ** 10 ** ** ** *   33   33 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
