YR--MODAHRMN DIR SPD 
201701010051 140  21 
201701010053 140  21 
201701010151 150  13 
201701010153 150  11 
201701010251 140  14 
201701010253 140  14 
201701010323 990   8 
201701010353 180  11 
201701010421 990   5 
201701010451 290  11 
201701010453 290  11 
201701010544 290   7 
201701010553 300   7 
201701010640 020   3 
201701010651 ***   0 
201701010653 080   3 
201701010707 080   3 
201701010726 ***   0 
201701010735 160   3 
201701010742 ***   0 
201701010751 ***   0 
201701010753 ***   0 
201701010759 *** *** 
201701010759 *** *** 
201701010807 120   5 
201701010844 ***   0 
201701010853 ***   0 
201701010906 160   3 
201701010913 ***   0 
201701010937 ***   0 
201701010951 ***   0 
201701010953 ***   0 
201701011000 ***   0 
201701011011 ***   0 
201701011023 360   3 
201701011034 ***   0 
201701011049 ***   0 
201701011053 ***   0 
201701011103 350   5 
201701011110 350   3 
201701011117 350   6 
201701011151 350   6 
201701011153 350   6 
201701011210 340   6 
201701011253 330   7 
201701011307 330   8 
201701011353 340   8 
201701011453 360  11 
201701011553 360  13 
201701011653 010  17 
201701011753 350  15 
201701011853 020  18 
201701011953 020  22 
201701012053 020  20 
201701012153 020  21 
201701012253 020  21 
201701012353 020  28 
201701020053 020  26 
201701020153 030  24 
201701020253 030  29 
201701020353 030  29 
201701020453 030  28 
201701020553 030  25 
201701020653 020  22 
201701020753 020  24 
201701020759 *** *** 
201701020853 020  26 
201701020953 030  25 
201701021053 030  24 
201701021153 020  23 
201701021253 020  26 
201701021353 020  25 
201701021453 020  26 
201701021553 030  25 
201701021653 020  29 
201701021753 030  28 
201701021853 020  28 
201701021953 020  23 
201701022053 020  22 
201701022153 030  26 
201701022253 030  25 
201701022353 020  24 
201701030053 020  23 
201701030153 030  24 
201701030253 030  22 
201701030353 030  20 
201701030453 020  20 
201701030553 030  22 
201701030653 030  17 
201701030753 020  17 
201701030759 *** *** 
201701030853 020  23 
201701030953 030  21 
201701031053 030  20 
201701031153 030  21 
201701031253 020  20 
201701031353 010  20 
201701031453 020  22 
201701031553 020  22 
201701031653 040  16 
201701031753 030  21 
201701031853 030  21 
201701031953 030  22 
201701032053 030  25 
201701032153 020  23 
201701032253 030  26 
201701032353 020  16 
201701040053 020  23 
201701040153 020  26 
201701040253 030  22 
201701040353 020  20 
201701040453 020  26 
201701040553 030  25 
201701040653 030  30 
201701040753 020  24 
201701040759 *** *** 
201701040853 020  20 
201701040953 020  20 
201701041053 030  16 
201701041153 030  16 
201701041253 040  20 
201701041353 040  15 
201701041453 040  13 
201701041553 040  16 
201701041653 030  16 
201701041753 020  17 
201701041853 030  20 
201701041953 030  18 
201701042053 020  16 
201701042153 360  17 
201701042253 010  16 
201701042353 010  13 
201701050053 020  15 
201701050153 030   9 
201701050253 030  13 
201701050353 350   7 
201701050453 010   7 
201701050553 ***   0 
201701050653 ***   0 
201701050753 ***   0 
201701050759 *** *** 
201701050853 ***   0 
201701050953 010   7 
201701051053 ***   0 
201701051153 ***   0 
201701051253 ***   0 
201701051353 ***   0 
201701051453 ***   0 
201701051553 ***   0 
201701051653 ***   0 
201701051753 360   3 
201701051853 ***   0 
201701051953 ***   0 
201701052053 330   3 
201701052153 990   3 
201701052253 ***   0 
201701052353 ***   0 
201701060053 ***   0 
201701060153 ***   0 
201701060253 ***   0 
201701060353 ***   0 
201701060453 ***   0 
201701060540 ***   0 
201701060553 ***   0 
201701060653 ***   0 
201701060753 ***   0 
201701060759 *** *** 
201701060812 350   3 
201701060853 360   3 
201701060953 ***   0 
201701061053 ***   0 
201701061153 010   3 
201701061253 010   3 
201701061353 ***   0 
201701061453 180   3 
201701061544 360   7 
201701061553 020   3 
201701061653 350   6 
201701061753 020   5 
201701061853 990   3 
201701061953 040   5 
201701062053 020   6 
201701062153 010   6 
201701062253 030   6 
201701062353 010   7 
201701070053 360   5 
201701070153 360   3 
201701070253 020   5 
201701070353 ***   0 
201701070453 ***   0 
201701070553 ***   0 
201701070653 ***   0 
201701070753 ***   0 
201701070759 *** *** 
201701070853 360   3 
201701070953 ***   0 
201701071053 ***   0 
201701071153 ***   0 
201701071253 ***   0 
201701071353 ***   0 
201701071453 ***   0 
201701071553 ***   0 
201701071653 ***   0 
201701071753 040   3 
201701071853 060   3 
201701071953 ***   0 
201701072053 030  16 
201701072153 030  13 
201701072253 040  13 
201701072353 020  13 
201701080053 040  11 
201701080153 ***   0 
201701080253 ***   0 
201701080353 ***   0 
201701080453 030   6 
201701080553 240   3 
201701080653 ***   0 
201701080753 010   8 
201701080759 *** *** 
201701080853 020  10 
201701080953 020  15 
201701081053 020  14 
201701081153 020  16 
201701081253 020  15 
201701081353 030  16 
201701081453 020  18 
201701081553 030  17 
201701081653 030  18 
201701081753 030  21 
201701081853 030  17 
201701081953 060  13 
201701082053 040   7 
201701082153 030  11 
201701082253 030  13 
201701082353 020  10 
201701090053 030   7 
201701090153 020   7 
201701090234 030   7 
201701090253 040   7 
201701090322 030  10 
201701090353 030   8 
201701090451 010   8 
201701090453 020   8 
201701090553 350   7 
201701090653 340   5 
201701090753 340   7 
201701090759 *** *** 
201701090821 320   5 
201701090853 150   8 
201701090953 160  14 
201701091053 160  17 
201701091153 990   9 
201701091214 170   6 
201701091253 170  10 
201701091328 160  11 
201701091340 160  10 
201701091353 160  14 
201701091453 180   6 
201701091553 170   7 
201701091653 160   6 
201701091753 150   3 
201701091755 150   5 
201701091853 160   7 
201701091953 160   9 
201701092053 150  10 
201701092153 170  13 
201701092253 170   9 
201701092300 160   8 
201701092307 160   9 
201701092353 160  13 
201701100053 150  10 
201701100153 140   7 
201701100253 130   9 
201701100353 350   7 
201701100453 010   5 
201701100553 360   6 
201701100653 030   7 
201701100718 030   9 
201701100751 020  13 
201701100753 020  11 
201701100759 *** *** 
201701100853 020  13 
201701100953 020  15 
201701101053 020  16 
201701101153 020  21 
201701101253 020  18 
201701101353 020  21 
201701101453 020  23 
201701101553 030  22 
201701101653 020  22 
201701101753 020  31 
201701101853 020  25 
201701101953 020  37 
201701102053 010  37 
201701102153 010  34 
201701102253 030  29 
201701102353 020  23 
201701110053 020  29 
201701110153 020  32 
201701110253 020  29 
201701110353 020  30 
201701110453 020  26 
201701110553 020  29 
201701110653 020  29 
201701110753 020  28 
201701110759 *** *** 
201701110853 020  32 
201701110953 030  31 
201701111053 030  26 
201701111153 020  31 
201701111253 020  30 
201701111353 020  24 
201701111453 030  21 
201701111553 030  14 
201701111653 040  14 
201701111753 040  16 
