#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 16 20 10  70  3.0   MM    MM    MM    MM  MM 1020.5  11.7    MM   9.4   MM   MM    MM
2017 10 16 19 50 220  6.0   MM    MM    MM    MM  MM 1020.6  11.4    MM   9.4   MM   MM    MM
2017 10 16 18 50 230  6.0   MM    MM    MM    MM  MM 1020.9  10.9    MM   9.0   MM   MM    MM
2017 10 16 17 50 220  6.0   MM    MM    MM    MM  MM 1021.9  10.6    MM   8.9   MM   MM    MM
2017 10 16 16 50 200  6.0   MM    MM    MM    MM  MM 1022.2  10.3    MM   8.8   MM   MM    MM
2017 10 16 15 50 210  5.0   MM    MM    MM    MM  MM 1022.4  10.4    MM   8.8   MM   MM    MM
2017 10 16 14 50 210  7.0   MM    MM    MM    MM  MM 1021.9  10.7    MM   9.0   MM   MM    MM
2017 10 16 13 50 220  4.0   MM    MM    MM    MM  MM 1021.9  10.6    MM   9.1   MM   MM    MM
2017 10 16 12 50 220  6.0   MM    MM    MM    MM  MM 1021.9  11.5    MM   9.3   MM   MM    MM
2017 10 16 11 50 260  4.0   MM    MM    MM    MM  MM 1022.2  11.8    MM   9.0   MM   MM    MM
2017 10 16 10 50 220  7.0   MM    MM    MM    MM  MM 1022.6  11.7    MM   9.1   MM   MM    MM
2017 10 16 09 50 220  7.0   MM    MM    MM    MM  MM 1023.1  11.4    MM   9.0   MM   MM    MM
2017 10 16 08 50 130  8.0   MM    MM    MM    MM  MM 1022.5  11.3    MM   9.2   MM   MM    MM
2017 10 16 07 50 230  9.0   MM    MM    MM    MM  MM 1022.5  11.4    MM   8.8   MM   MM    MM
2017 10 16 06 50 220  7.0   MM    MM    MM    MM  MM 1022.9  11.1    MM   8.3   MM   MM    MM
2017 10 16 05 50 120  8.0   MM    MM    MM    MM  MM 1023.3  11.3    MM   7.8   MM   MM    MM
2017 10 16 04 50 120  7.0   MM    MM    MM    MM  MM 1023.0  11.5    MM   8.4   MM   MM    MM
2017 10 16 03 50  50  5.0   MM    MM    MM    MM  MM 1023.2  11.4    MM   8.8   MM   MM    MM
2017 10 16 02 50 120  2.0   MM    MM    MM    MM  MM 1023.2  11.1    MM   8.8   MM   MM    MM
2017 10 16 01 50 210  2.0   MM    MM    MM    MM  MM 1023.5  11.2    MM   8.0   MM   MM    MM
2017 10 16 00 50 210  2.0   MM    MM    MM    MM  MM 1023.6  12.5    MM   8.5   MM   MM    MM
2017 10 15 23 50 220  2.0   MM    MM    MM    MM  MM 1023.7  12.5    MM   8.8   MM   MM    MM
2017 10 15 22 50 210  5.0   MM    MM    MM    MM  MM 1023.9  12.5    MM   8.6   MM   MM    MM
2017 10 15 21 50 250  4.0   MM    MM    MM    MM  MM 1024.0  12.1    MM   8.4   MM   MM    MM
2017 10 15 20 50 200  3.0   MM    MM    MM    MM  MM 1024.7  11.9    MM   8.8   MM   MM    MM
2017 10 15 19 50 290  3.0   MM    MM    MM    MM  MM 1025.7  11.4    MM   8.3   MM   MM    MM
2017 10 15 18 50 140  3.0   MM    MM    MM    MM  MM 1026.2  10.4    MM   7.9   MM   MM    MM
2017 10 15 17 50  MM  0.0   MM    MM    MM    MM  MM 1026.9  11.7    MM   8.5   MM   MM    MM
2017 10 15 16 50 250  3.0   MM    MM    MM    MM  MM 1027.3   8.6    MM   6.8   MM   MM    MM
2017 10 15 15 50 240  2.0   MM    MM    MM    MM  MM 1027.6   8.1    MM   6.7   MM   MM    MM
2017 10 15 14 50 250  3.0   MM    MM    MM    MM  MM 1027.7   8.2    MM   6.7   MM   MM    MM
2017 10 15 13 50 220  3.0   MM    MM    MM    MM  MM 1027.7   8.8    MM   6.8   MM   MM    MM
2017 10 15 12 50 250  3.0   MM    MM    MM    MM  MM 1028.6   9.0    MM   7.0   MM   MM    MM
2017 10 15 11 50 250  3.0   MM    MM    MM    MM  MM 1029.1   8.9    MM   7.0   MM   MM    MM
2017 10 15 10 50 200  3.0   MM    MM    MM    MM  MM 1029.4   9.4    MM   7.0   MM   MM    MM
2017 10 15 09 50  20  3.0   MM    MM    MM    MM  MM 1029.8   9.2    MM   7.2   MM   MM    MM
2017 10 15 08 50  20  2.0   MM    MM    MM    MM  MM 1030.2   9.6    MM   7.1   MM   MM    MM
2017 10 15 07 50  10  3.0   MM    MM    MM    MM  MM 1030.4   9.3    MM   7.1   MM   MM    MM
2017 10 15 06 50  30  3.0   MM    MM    MM    MM  MM 1030.6   9.4    MM   7.1   MM   MM    MM
2017 10 15 05 50  10  3.0   MM    MM    MM    MM  MM 1030.9   9.4    MM   7.1   MM   MM    MM
2017 10 15 04 50  20  4.0   MM    MM    MM    MM  MM 1031.0   9.6    MM   7.3   MM   MM    MM
2017 10 15 03 50 360  4.0   MM    MM    MM    MM  MM 1031.2   9.4    MM   7.1   MM   MM    MM
2017 10 15 02 50  10  4.0   MM    MM    MM    MM  MM 1031.1  10.3    MM   6.8   MM   MM    MM
2017 10 15 01 50 290  3.0   MM    MM    MM    MM  MM 1031.2  10.8    MM   6.9   MM   MM    MM
2017 10 15 00 50 150  2.0   MM    MM    MM    MM  MM 1031.2  11.4    MM   6.5   MM   MM    MM
2017 10 14 23 50 360  3.0   MM    MM    MM    MM  MM 1031.2  10.9    MM   5.8   MM   MM    MM
2017 10 14 22 30 320  2.0   MM    MM    MM    MM  MM 1031.6  10.7    MM   5.8   MM   MM    MM
2017 10 14 21 50 230  2.0   MM    MM    MM    MM  MM 1031.7  10.7    MM   6.1   MM   MM    MM
2017 10 14 20 50 220  5.0   MM    MM    MM    MM  MM 1031.9  10.2    MM   5.4   MM   MM    MM
2017 10 14 19 50 220  7.0   MM    MM    MM    MM  MM 1032.2   9.9    MM   5.4   MM   MM    MM
2017 10 14 18 50 220  7.0   MM    MM    MM    MM  MM 1032.4   9.4    MM   4.9   MM   MM    MM
2017 10 14 17 50 130  6.0   MM    MM    MM    MM  MM 1032.3   9.1    MM   5.6   MM   MM    MM
2017 10 14 16 50 220  9.0   MM    MM    MM    MM  MM 1032.0   8.5    MM   6.1   MM   MM    MM
2017 10 14 15 50 220  9.0   MM    MM    MM    MM  MM 1031.8   8.0    MM   5.7   MM   MM    MM
2017 10 14 14 50 160  5.0   MM    MM    MM    MM  MM 1031.6   8.1    MM   6.2   MM   MM    MM
2017 10 14 13 50 220  7.0   MM    MM    MM    MM  MM 1031.3   8.6    MM   5.7   MM   MM    MM
2017 10 14 12 50 210  7.0   MM    MM    MM    MM  MM 1031.4   9.1    MM   6.0   MM   MM    MM
2017 10 14 11 50 230  7.0   MM    MM    MM    MM  MM 1031.3   8.2    MM   6.4   MM   MM    MM
2017 10 14 10 40 230  5.0   MM    MM    MM    MM  MM 1030.5   8.2    MM   6.6   MM   MM    MM
