Station Name,Station Description,Lat,Lon
drmemory01,Tiperrary,48.1202,-121.9450
mission,Mission BC,49.2000,-122.3000
bellinghamkite,Bellingham WA,48.7767,-122.5624
kirkland,kirkland wa,47.7052,-122.2274
cdenhertog,Blackburn RD ChilliwackBritish Columbia,49.1000,-122.0616
randomthinking,Magnolia Seattle,47.6000,-122.2000
pmiddents,XanaDune,47.1069,-124.1784
bwd,Columbia Beach Parksville BC,49.3537,-124.3681
jhop50,Ferndale Washington,48.8690,-122.6230
langbaybc,langbaybc,49.7756,-124.3564
hmsassenfeld,Bainbridge Island WA,47.5931,-122.5315
howlrwy,East Olympia WA,46.9832,-122.8532
mrensi,Port Townsend WA,48.1164,-122.7567
matt,Snohomish WA,47.9364,-122.0869
stupdcat,Fairwood,47.4295,-122.1577
mikmca,Des Moines WA,47.4259,-122.3255
ka7gzr,Kent Wa,47.3882,-122.1915
kc7oas,KC7OAS Bellingham WA,48.8813,-122.5070
n7dar,N7DAR in Spanaway WA,47.1068,-122.4095
lopezisland,lopez island wa,48.4923,-122.9416
olufson,Bart's Place Yelm WA,46.9205,-122.6370
briansm,Belltown,47.6139,-122.3440
killoda,Maple Valley WA,47.4436,-122.0137
scct,Pier 91 Seattle WA,47.6270,-122.3837
mosplace,Port Angeles WA,48.0764,-123.4483
polepass,Pole Pass Orcas Island WA,48.6000,-122.9000
dansprat,Cranberry Lake Camano Island WA,48.1426,-122.4888
nkfire,North Kitsap Fire & Rescue Kingston WA,47.8043,-122.5407
pskiteji,Jetty Island in Everett WA,48.0034,-122.2282
dzube,Firloch Kirkland WA U.S.A.,47.7058,-122.1939
dmitch16,Edmonds,47.8034,-122.3738
3greentrees,Echo Lake - Snohomish WA,47.7921,-122.0522
bsaarela,Simms Creek CR,49.9770,-125.2268
gb29219,Carnation WA,47.6301,-121.9498
cencom,CENCOM,47.5546,-122.6811
camanojim,Bayside Camano Island WA,48.0699,-122.3892
mwaitt,Whidbey Island WA,48.0622,-122.6017
whidbey6045,Whidbey Island - Freeland WA,47.9923,-122.5328
rond,Siskin Forest Cortes Island,50.0471,-124.9801
tanner,Tanner North Bend HQ,47.4718,-121.7304
famousrain,Houghton Weather,47.6576,-122.1965
agassizaafc,Huntingdon B.C.,49.0000,-122.2000
lloydbernhardt,Roberts Creek BC,49.4207,-123.6421
phillipslake,PhillipsLake WA,47.2546,-122.9636
brownjb,14739 Henderson Road NE,47.4000,-122.3000
2dogsobs,West Seattle - (Two Dogs Observatory),47.5867,-122.3842
trister1,Getchell Hill,48.0880,-122.0620
osborne,DNW South Beach 7,48.5101,-122.8334
bhamster,Toledo Hill/West Racine St,48.7424,-122.4543
jimscubas2,Jimscubas Motorhome,47.0558,-123.2720
vcrnorth2,Vancouver - North Shore No.2,49.3000,-123.0000
unionbay,Union Bay,49.5855,-124.8832
bwd1,Port Alberni Harbour Quay,49.2348,-124.8161
vcrnorth1,Vancouver - North Shore No.1,49.3006,-123.0322
osolobo,Guemes Island WA - Nootka Lane,48.5519,-122.5947
grcc,Kent,47.3380,-122.1030
thepoint,The Point [South central Point Roberts),48.9786,-123.0489
weaverhatchery,Weaver Creek Hatchery,49.6000,-122.6000
portwash,Port Washington,48.8144,-123.3214
snellenweather,Snellenweather--Lakeside Middle School,47.7300,-122.3300
chucklesg,ChucklesG WX,48.4199,-123.4792
harvey,Harvey Airfield,47.9050,-122.0990
skripek,Blacknugget Apiaries,47.5569,-121.9848
markcc22,Tolt Hill Carnation WA,47.6159,-121.9540
thunderbirds,Bothell WA,47.7474,-122.1754
bushchang,Yarrow Point,47.6432,-122.2139
cjatul,Roosevelt High School,47.5000,-122.3000
fibreco,Fibreco Export Inc.,49.3000,-123.1000
broberts,Nutmeg Road - Bayview Estates,48.3000,-122.6000
schcomox2,Comox 2,49.6690,-124.9254
lopezcwop,Lopez Island nr Mackaye Harbor,48.4360,-122.8874
